ÄÐÉú,Å®Éú
182.1,175.4
183.3,162.7
176.6,174.6
177.3,164.8
174.3,157
178.9,157.3
177.5,164.3
179.5,167.6
168.3,167.8
173.3,168.7
170.3,170.7
177.9,168.2
174.4,171.7
196,166.3
178.4,172.3
188.5,167.3
174.2,179.2
191.4,174.9
174.4,173.8
176.8,167.4
177.2,163.7
167.8,165.2
183.4,158.9
174.7,169.9
174.7,168.5
171.2,164
175.1,172.5
181.1,162.1
182.3,169.8
174.4,168
188.6,165.6
181,163.2
166.7,164.5
176.6,166.5
184.2,179.1
176.1,172.7
175.9,163.5
186.6,167.8
188.5,175.3
166.5,174.6
174.9,168.5
177.5,167.9
180.2,167.2
188.2,168.3
178.3,165.2
181.9,164
189.1,166.2
178,168.9
167.8,162
186.1,167.2
